Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status,Patient Age,Patient Sex,Patient BMI,Enable Treatment
50,39,18,0,0.46,0.6779552908811,0.4673861738258916,0.0,100.0,0,RUNNING,30,male,22,False
51,39,14,0,0.46470588235294114,0.7231148478367018,0.4699284113838313,0.0,98.0,1,RUNNING,30,male,22,False
52,39,14,0,0.4653846153846154,0.6479145232071332,0.472404884090107,0.0,96.0,2,RUNNING,30,male,22,False
53,39,12,0,0.4660377358490566,0.6192540143011103,0.476319131047176,0.0,94.0,3,RUNNING,30,male,22,False
53,39,11,0,0.46981132075471693,0.5967190408380523,0.47907190737855554,0.0,94.0,4,RUNNING,30,male,22,False
52,39,11,0,0.47692307692307695,0.5727025456818426,0.4820488764835504,0.0,96.0,5,RUNNING,30,male,22,False
52,39,11,0,0.47692307692307695,0.5485427412784445,0.4853160608739775,0.0,96.0,6,RUNNING,30,male,22,False
53,39,11,0,0.4811320754716981,0.545,0.4883430100765156,0.0,94.0,7,RUNNING,30,male,22,False
56,39,10,0,0.4785714285714286,0.545,0.4911616132191645,0.0,88.0,8,RUNNING,30,male,22,False
52,39,10,0,0.48846153846153845,0.545,0.49475389704226125,0.0,96.0,9,RUNNING,30,male,22,False
52,39,10,0,0.4846153846153846,0.545,0.4973839104287618,0.0,96.0,10,RUNNING,30,male,22,False
51,39,9,0,0.4843137254901961,0.545,0.5003533369531901,0.0,98.0,11,RUNNING,30,male,22,False
51,39,9,0,0.48823529411764705,0.545,0.5034427838943059,0.0,98.0,12,RUNNING,30,male,22,False
52,39,9,0,0.5115384615384615,0.545,0.5057915806093991,0.0,96.0,13,RUNNING,30,male,22,False
50,39,9,0,0.516,0.545,0.5088260305988455,0.0,100.0,14,RUNNING,30,male,22,False
48,39,9,2,0.5208333333333334,0.545,0.5115525784834898,4.0000000000000036,100.0,15,RUNNING,30,male,22,False
49,39,9,1,0.5244897959183673,0.545,0.5142453707760319,2.0000000000000018,100.0,16,RUNNING,30,male,22,False
50,39,9,0,0.528,0.545,0.5174454868616799,0.0,100.0,17,RUNNING,30,male,22,False
52,39,9,0,0.5269230769230769,0.545,0.520809343004448,0.0,96.0,18,RUNNING,30,male,22,False
51,39,8,0,0.5274509803921569,0.545,0.5243775701680037,0.0,98.0,19,RUNNING,30,male,22,False
49,39,8,1,0.5244897959183673,0.5445879018582425,0.5279121005001388,2.0000000000000018,100.0,20,RUNNING,30,male,22,False
48,39,8,2,0.525,0.5434452967247001,0.5314093209165232,4.0000000000000036,100.0,21,RUNNING,30,male,22,False
45,39,7,5,0.5266666666666666,0.5414960781922219,0.5347859776753187,9.999999999999998,100.0,22,RUNNING,30,male,22,False
44,39,6,6,0.5227272727272727,0.5390490162377851,0.5374139573644229,12.0,100.0,23,RUNNING,30,male,22,False
44,39,6,6,0.5181818181818182,0.5360862135114853,0.5406605903497227,12.0,100.0,24,RUNNING,30,male,22,False
44,39,5,6,0.5272727272727272,0.5328201914100182,0.5440112209319381,12.0,100.0,25,RUNNING,30,male,22,False
42,39,4,8,0.5190476190476191,0.5287477341886959,0.5466127986222618,16.000000000000004,100.0,26,RUNNING,30,male,22,False
42,39,4,8,0.5190476190476191,0.5240536483231112,0.549822830654299,16.000000000000004,100.0,27,RUNNING,30,male,22,False
40,39,4,10,0.525,0.518689986432235,0.5522922240936396,19.999999999999996,100.0,28,RUNNING,30,male,22,False
40,39,4,10,0.53,0.5129936983087373,0.5560043998811696,19.999999999999996,100.0,29,RUNNING,30,male,22,False
40,39,4,10,0.5399999999999999,0.5067810521866699,0.5585770445483893,19.999999999999996,100.0,30,RUNNING,30,male,22,False
37,39,4,13,0.5486486486486487,0.5000984640890529,0.5612088393840224,26.0,100.0,31,RUNNING,30,male,22,False
35,39,4,15,0.5571428571428572,0.4928865147151824,0.5637534254234822,30.000000000000004,100.0,32,RUNNING,30,male,22,False
35,39,4,15,0.5800000000000001,0.48518335166319304,0.567461551133953,30.000000000000004,100.0,33,RUNNING,30,male,22,False
32,39,3,18,0.56875,0.47648625004297046,0.5700019244448823,36.0,100.0,34,RUNNING,30,male,22,False
30,39,3,20,0.5733333333333334,0.46688231503332395,0.5723911505312258,40.0,100.0,35,RUNNING,30,male,22,False
24,39,3,26,0.5916666666666667,0.4557928017422131,0.5750491325661872,52.0,100.0,36,RUNNING,30,male,22,False
21,39,3,29,0.5857142857142856,0.443155320797397,0.5781990336504981,58.00000000000001,100.0,37,RUNNING,30,male,22,False
14,39,3,36,0.5857142857142856,0.4289496819310592,0.5801325956940976,72.0,100.0,38,RUNNING,30,male,22,False
13,39,3,37,0.5923076923076922,0.42185004494434525,0.5839732348964426,74.0,100.0,39,RUNNING,30,male,22,False
10,39,3,40,0.58,0.4177069122626038,0.586454878606893,80.0,100.0,40,RUNNING,30,male,22,False
8,39,3,42,0.6,0.4127882438962516,0.5885759682705627,84.0,100.0,41,RUNNING,30,male,22,False
4,39,3,46,0.6499999999999999,0.40726012190598637,0.591278208547163,92.0,100.0,42,RUNNING,30,male,22,False
0,39,3,50,0.0,0.40133661537847576,0.593317949398854,100.0,100.0,43,REMISSION,30,male,22,False
